ACTION_TYPE,EVENTTIME,GAME_DATE,GAME_EVENT_ID,HTM,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,QUARTER,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_TIME,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME,VTM
Jump Shot,308,20151027,6112,GSW,-116.879,59.2501,5,1,203076,Anthony Davis,1.0,8,1,12,311.25,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612740,New Orleans Pelicans,NOP
Driving Floating Bank Jump Shot,670,20151230,1558,SAS,126.0503,65.0562,11,1,1626164,Devin Booker,1.0,10,1,13,674.33,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612756,Phoenix Suns,PHX
Dunk Shot,496,20151123,935,CLE,-35.223,-20.357,8,4,201160,Jason Smith,4.0,16,1,0,519.03,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612753,Orlando Magic,ORL
Putback Layup Shot,409,20160102,2151,BOS,25.8751,-0.2195,6,1,203096,Jared Sullinger,1.0,49,1,1,411.63,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612738,Boston Celtics,BKN
Layup Shot,361,20151205,693,HOU,216.7169,63.6539,6,4,201954,Darren Collison,4.0,1,1,2,353.8,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612758,Sacramento Kings,SAC
Running Finger Roll Layup Shot,245,20151121,8868,IND,-9.2403,5.482,4,2,101145,Monta Ellis,2.0,5,1,0,233.17,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612754,Indiana Pacers,MIL
Running Jump Shot,31,20151226,2779,NOP,59.3605,340.1304,0,4,201935,James Harden,4.0,31,1,4,28.15,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612745,Houston Rockets,HOU
Jump Shot,113,20160122,2157,DAL,-85.3606,149.5949,1,1,203079,Dion Waiters,1.0,53,1,24,97.35,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612760,Oklahoma City Thunder,OKC
Jump Shot,593,20151101,405,LAL,152.5221,188.1123,9,1,202083,Wesley Matthews,1.0,53,1,22,575.2,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Driving Floating Jump Shot,143,20151202,4407,ATL,-99.2471,241.2842,2,3,201942,DeMar DeRozan,3.0,23,1,12,119.18,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612761,Toronto Raptors,TOR
Layup Shot,608,20151216,3279,NYK,10.2139,63.22,10,4,202682,Derrick Williams,4.0,8,1,1,611.66,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612752,New York Knicks,MIN
Jump Shot,201,20151202,1197,SAS,-0.6867,11.2465,3,1,202695,Kawhi Leonard,1.0,21,1,14,186.98,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs,MIL
Jump Shot,414,20151210,7120,CHI,-159.3736,161.5992,6,3,202710,Jimmy Butler,3.0,54,1,22,417.67,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612741,Chicago Bulls,LAC
Driving Layup Shot,16,20151122,3190,NOP,75.0209,33.2337,0,4,202688,Brandon Knight,4.0,16,1,1,17.44,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns,PHX
Layup Shot,263,20151127,7055,CHA,-80.7479,79.2162,4,4,202684,Tristan Thompson,4.0,23,1,0,282.82,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612739,Cleveland Cavaliers,CLE
Jump Shot,164,20151128,9174,DAL,-17.2103,134.1235,2,2,101114,Deron Williams,2.0,44,1,24,144.81,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DEN
Layup Shot,68,20151110,362,CLE,38.1387,16.7291,1,4,202324,Derrick Favors,4.0,8,1,2,70.51,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612762,Utah Jazz,UTA
Jump Shot,248,20151227,226,OKC,-161.4023,196.0834,4,2,201142,Kevin Durant,2.0,8,1,13,257.86,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612760,Oklahoma City Thunder,DEN
Jump Shot,483,20151225,8239,OKC,111.712,177.2499,8,3,2200,Pau Gasol,3.0,3,1,17,486.16,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612741,Chicago Bulls,CHI
Jump Shot,390,20151220,4115,PHX,210.6073,140.1595,6,4,1626173,Rashad Vaughn,4.0,30,1,26,393.2,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612749,Milwaukee Bucks,MIL
Jump Shot,152,20151121,9032,IND,-22.3504,86.0943,2,1,202730,Lavoy Allen,1.0,32,1,4,136.42,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612754,Indiana Pacers,MIL
Running Layup Shot,620,20151219,3871,HOU,48.6023,77.9769,10,4,201977,Marcus Thornton,4.0,20,1,0,621.78,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets,LAC
Floating Jump shot,704,20151106,9364,PHX,79.2542,159.3032,11,3,202693,Markieff Morris,3.0,44,1,7,700.91,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612756,Phoenix Suns,DET
Pullup Jump shot,110,20151220,1640,TOR,-78.7053,83.1364,1,1,200752,Rudy Gay,1.0,50,1,16,133.64,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612758,Sacramento Kings,SAC
Step Back Jump shot,151,20151207,5159,PHI,61.8865,196.0578,2,1,203917,Nik Stauskas,1.0,31,1,10,175.76,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612755,Philadelphia 76ers,SAS
Tip Layup Shot,142,20151111,3433,PHI,-159.5618,220.5694,2,2,202685,Jonas Valanciunas,2.0,22,1,1,131.4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612761,Toronto Raptors,TOR
Jump Shot,621,20160106,9493,BOS,-169.7442,171.7255,10,3,202323,Evan Turner,3.0,21,1,25,624.31,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612738,Boston Celtics,DET
Running Dunk Shot,449,20151223,5520,ATL,88.7949,147.9122,7,2,203484,Kentavious Caldwell-Pope,2.0,29,1,0,452.29,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612765,Detroit Pistons,DET
Running Alley Oop Dunk Shot,378,20160114,5128,UTA,-134.6111,206.0375,6,3,200752,Rudy Gay,3.0,18,1,0,380.55,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612758,Sacramento Kings,SAC
Layup Shot,47,20151212,9313,BKN,139.785,204.2343,0,1,203186,Willie Reed,1.0,47,1,3,69.68,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612751,Brooklyn Nets,LAC
Jump Shot,254,20151107,4437,SAC,212.6319,15.8472,4,4,202691,Klay Thompson,4.0,14,1,23,257.33,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors,GSW
Alley Oop Dunk Shot,534,20151205,8271,PHI,108.9286,117.1263,8,4,203457,Nerlens Noel,4.0,54,1,0,536.16,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612755,Philadelphia 76ers,DEN
Jump Shot,197,20160120,3314,NYK,59.6546,246.4408,3,4,101181,Jose Calderon,4.0,17,1,23,199.54,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612752,New York Knicks,UTA
Jump Shot,17,20151208,5092,SAC,50.664,237.5228,0,1,201158,Marco Belinelli,1.0,17,1,24,32.35,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612758,Sacramento Kings,UTA
Tip Layup Shot,423,20160113,1410,CHA,2.9303,4.8072,7,3,201587,Nicolas Batum,3.0,3,1,0,425.52,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets,ATL
Pullup Jump shot,187,20151203,7156,POR,-167.45,131.856,3,2,201945,Gerald Henderson,2.0,7,1,20,178.08,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612757,Portland Trail Blazers,IND
Jump Shot,298,20160102,4774,UTA,69.706,244.2842,4,1,201145,Jeff Green,1.0,58,1,24,301.05,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612763,Memphis Grizzlies,MEM
Jump Shot,318,20151209,1199,MIN,89.0407,177.7214,5,1,203952,Andrew Wiggins,1.0,18,1,18,320.04,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612750,Minnesota Timberwolves,LAL
Jump Shot,252,20151207,4737,CHI,-41.0483,53.4513,4,1,2200,Pau Gasol,1.0,12,1,4,254.4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612741,Chicago Bulls,PHX
Jump Shot,536,20151219,8554,WAS,228.5399,30.5072,8,1,101107,Marvin Williams,1.0,56,1,23,538.84,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612766,Charlotte Hornets,CHA
Driving Layup Shot,675,20151203,1085,MEM,-70.0765,23.8336,11,2,201584,Courtney Lee,2.0,15,1,1,668.98,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612763,Memphis Grizzlies,SAS
Jump Shot,132,20151111,6608,ATL,-66.5879,219.0429,2,1,201582,Alexis Ajinca,1.0,12,1,3,129.06,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans,NOP
Jump Shot,420,20151226,3924,SAS,155.2863,181.1934,7,3,203530,Joffrey Lauvergne,3.0,0,1,27,422.84,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612743,Denver Nuggets,DEN
Layup Shot,584,20151030,392,SAS,-171.4851,190.975,9,1,1495,Tim Duncan,1.0,44,1,2,561.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs,BKN
Jump Shot,207,20160105,9278,CHI,-160.3078,91.5675,3,2,2200,Pau Gasol,2.0,27,1,19,191.9,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612741,Chicago Bulls,MIL
Jump Shot,494,20151201,1636,NOP,-171.5419,70.4954,8,2,201188,Marc Gasol,2.0,14,1,16,497.15,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612763,Memphis Grizzlies,MEM
Jump Shot,103,20151119,4398,CLE,110.7001,15.6502,1,1,2592,James Jones,1.0,43,1,10,107.65,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612739,Cleveland Cavaliers,MIL
Pullup Jump shot,662,20151225,9040,MIA,-3.848,168.3413,11,4,101123,Gerald Green,4.0,2,1,15,666.02,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612748,Miami Heat,NOP
Jump Shot,0,20160108,668,MEM,-121.3527,383.7995,0,3,201145,Jeff Green,3.0,0,1,37,0.83,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612763,Memphis Grizzlies,DEN
Driving Dunk Shot,37,20151211,76,UTA,-35.9639,152.4697,0,2,201142,Kevin Durant,2.0,37,1,0,53.45,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612760,Oklahoma City Thunder,OKC
Layup Shot,183,20160110,9019,NYK,42.5738,47.722,3,3,203101,Miles Plumlee,3.0,3,1,1,185.64,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612749,Milwaukee Bucks,MIL
Layup Shot,98,20151115,3941,NYK,2.8771,111.6332,1,1,200811,Lou Amundson,1.0,38,1,2,99.84,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612752,New York Knicks,NOP
Hook Shot,494,20151122,3425,NOP,-223.3214,-5.3932,8,4,200782,PJ Tucker,4.0,14,1,2,501.29,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns,PHX
Jump Shot,205,20151205,3612,UTA,82.0312,248.1373,3,4,202330,Gordon Hayward,4.0,25,1,25,207.8,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612762,Utah Jazz,IND
Pullup Jump shot,591,20151231,2406,HOU,196.055,148.7322,9,4,2733,Shaun Livingston,4.0,51,1,16,575.81,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,GSW
Layup Shot,486,20151104,4121,HOU,-146.1847,127.463,8,3,201977,Marcus Thornton,3.0,6,1,0,496.2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets,ORL
Floating Jump shot,333,20151113,3516,NYK,109.8312,163.7661,5,2,2590,Mo Williams,2.0,33,1,14,348.19,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612739,Cleveland Cavaliers,CLE
Jump Shot,693,20151127,9191,PHX,-52.4367,87.0246,11,1,202693,Markieff Morris,1.0,33,1,3,705.13,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns,GSW
Jump Shot,309,20160104,4586,DET,-217.7174,23.8389,5,4,201943,Brandon Jennings,4.0,9,1,22,312.2,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612765,Detroit Pistons,ORL
Driving Layup Shot,204,20151120,3993,LAL,-13.1136,3.0687,3,4,1626156,D'Angelo Russell,4.0,24,1,2,207.72,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,TOR
Jump Shot,240,20160123,3134,CHA,192.8883,161.7839,4,3,202682,Derrick Williams,3.0,0,1,25,241.85,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612752,New York Knicks,NYK
Jump Shot,424,20151220,5004,TOR,-147.4632,153.5786,7,3,202326,DeMarcus Cousins,3.0,4,1,21,428.41,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612758,Sacramento Kings,SAC
Jump Shot,395,20160102,5256,CLE,99.865,238.5124,6,1,2747,JR Smith,1.0,35,1,18,371.62,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612739,Cleveland Cavaliers,ORL
Tip Layup Shot,586,20151209,7912,MIL,199.2611,84.8903,9,2,2037,Jamal Crawford,2.0,46,1,1,585.88,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612746,LA Clippers,LAC
Hook Shot,663,20151230,341,SAC,43.8157,59.6781,11,4,201585,Kosta Koufos,4.0,3,1,6,675.75,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612758,Sacramento Kings,PHI
Jump Shot,50,20151102,7645,LAC,-157.0423,86.3353,0,4,202693,Markieff Morris,4.0,50,1,17,53.42,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612756,Phoenix Suns,PHX
Jump Shot,207,20151226,8971,BKN,-152.3954,200.5129,3,1,202066,Garrett Temple,1.0,27,1,24,210.41,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612764,Washington Wizards,WAS
Layup Shot,265,20151123,7907,CHA,-66.4404,2.161,4,4,203469,Cody Zeller,4.0,25,1,2,291.32,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612766,Charlotte Hornets,SAC
Cutting Layup Shot,336,20151226,3067,MIN,5.9787,1.531,5,1,101145,Monta Ellis,1.0,36,1,1,344.76,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612754,Indiana Pacers,IND
Jump Shot,203,20151226,7975,CHA,-54.2359,253.6763,3,4,1626163,Frank Kaminsky,4.0,23,1,25,205.79,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612766,Charlotte Hornets,MEM
Pullup Jump shot,611,20160115,7442,MIL,-43.6694,1.837,10,3,203953,Jabari Parker,3.0,11,1,15,588.5,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612749,Milwaukee Bucks,ATL
Jump Shot,427,20151209,8377,WAS,131.7279,213.1206,7,1,202322,John Wall,1.0,7,1,25,428.78,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612764,Washington Wizards,HOU
Fadeaway Jump Shot,676,20160102,2912,UTA,-106.1466,3.3576,11,1,201188,Marc Gasol,1.0,16,1,15,679.68,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612763,Memphis Grizzlies,MEM
Cutting Dunk Shot,558,20151210,5156,CHI,37.7943,117.1876,9,2,201149,Joakim Noah,2.0,18,1,0,579.06,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612741,Chicago Bulls,LAC
Pullup Jump shot,89,20151106,9081,ORL,-16.7636,2.6471,1,3,201942,DeMar DeRozan,3.0,29,1,15,63.76,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612761,Toronto Raptors,TOR
Jump Shot,315,20151103,5545,NOP,-60.6481,245.7035,5,2,203506,Victor Oladipo,2.0,15,1,25,318.08,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612753,Orlando Magic,ORL
Driving Layup Shot,571,20151222,1681,DEN,65.6156,80.8252,9,4,200751,Randy Foye,4.0,31,1,2,574.24,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets,LAL
Jump Shot,217,20151218,3946,BOS,71.8,194.9659,3,3,203096,Jared Sullinger,3.0,37,1,21,219.6,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612738,Boston Celtics,ATL
Jump Shot,114,20160120,7886,DAL,-212.3769,43.9011,1,3,201580,JaVale McGee,3.0,54,1,14,95.85,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612742,Dallas Mavericks,MIN
Jump Shot,318,20151114,1706,HOU,198.9607,121.3978,5,4,101109,Raymond Felton,4.0,18,1,24,321.16,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,DAL
Jump Shot,570,20151101,3749,OKC,-155.7819,94.3869,9,1,201142,Kevin Durant,1.0,30,1,15,572.22,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612760,Oklahoma City Thunder,DEN
Step Back Jump shot,522,20151120,4242,DEN,103.7716,205.0405,8,3,202688,Brandon Knight,3.0,42,1,25,508.15,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612756,Phoenix Suns,PHX
Layup Shot,221,20160121,8627,DEN,12.6555,111.4297,3,2,2216,Zach Randolph,2.0,41,1,2,208.13,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612763,Memphis Grizzlies,MEM
Turnaround Fadeaway shot,535,20151205,8251,MIN,22.6692,198.3347,8,2,203086,Meyers Leonard,2.0,55,1,11,524.03,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612757,Portland Trail Blazers,POR
Turnaround Hook Shot,504,20151226,2020,ORL,-28.0347,33.7154,8,3,202696,Nikola Vucevic,3.0,24,1,10,493.67,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612753,Orlando Magic,MIA
Jump Shot,178,20151127,5209,OKC,62.2446,278.757,2,3,203484,Kentavious Caldwell-Pope,3.0,58,1,25,178.17,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612765,Detroit Pistons,DET
Jump Shot,307,20151102,1239,GSW,-4.4425,285.8446,5,1,202691,Klay Thompson,1.0,7,1,26,311.24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,MEM
Jump Shot,432,20160112,7245,NYK,176.6265,7.0991,7,2,203482,Kelly Olynyk,2.0,12,1,4,455.19,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612738,Boston Celtics,BOS
Jump Shot,203,20151031,3971,LAC,-78.5724,229.7355,3,3,201933,Blake Griffin,3.0,23,1,18,231.74,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612746,LA Clippers,SAC
Layup Shot,122,20151109,5054,DEN,23.7392,61.7019,2,2,203081,Damian Lillard,2.0,2,1,0,134.65,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612757,Portland Trail Blazers,POR
Jump Shot,436,20151129,7881,NYK,158.3964,196.7738,7,3,204001,Kristaps Porzingis,3.0,16,1,25,438.04,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612752,New York Knicks,HOU
Layup Shot,79,20160104,8185,CLE,-222.6294,14.7335,1,2,202684,Tristan Thompson,2.0,19,1,1,45.45,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612739,Cleveland Cavaliers,TOR
Jump Shot,119,20160108,2420,MIL,146.0387,47.8656,1,3,1717,Dirk Nowitzki,3.0,59,1,11,121.39,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612742,Dallas Mavericks,DAL
Turnaround Hook Shot,363,20160113,7228,BOS,-52.1687,93.5011,6,4,101161,Amir Johnson,4.0,3,1,6,365.28,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612738,Boston Celtics,IND
Jump Shot,699,20151216,8548,ATL,36.3961,253.5446,11,3,203088,Kendall Marshall,3.0,39,1,24,702.07,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612755,Philadelphia 76ers,PHI
Jump Shot,72,20151231,1152,UTA,106.6605,230.7164,1,1,203090,Maurice Harkless,1.0,12,1,24,74.91,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612757,Portland Trail Blazers,POR
Jump Shot,213,20160104,1369,OKC,38.5776,180.3904,3,1,201158,Marco Belinelli,1.0,33,1,17,231.76,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612758,Sacramento Kings,SAC
Layup Shot,196,20151124,9438,WAS,108.5758,83.215,3,3,201162,Jared Dudley,3.0,16,1,1,216.79,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612764,Washington Wizards,IND
Step Back Jump shot,524,20151216,7888,OKC,207.8401,81.8758,8,3,201142,Kevin Durant,3.0,44,1,26,540.63,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612760,Oklahoma City Thunder,POR
Driving Layup Shot,468,20151109,3065,SAC,64.3974,102.3938,7,2,2225,Tony Parker,2.0,48,1,2,469.68,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs,SAS
Jump Shot,191,20151028,8909,ORL,-76.4753,198.489,3,2,2743,Kris Humphries,2.0,11,1,20,194.26,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612764,Washington Wizards,WAS
Jump Shot,521,20151223,4890,MIL,69.0482,229.3414,8,3,203496,Robert Covington,3.0,41,1,25,523.64,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612755,Philadelphia 76ers,PHI
Step Back Jump shot,654,20151120,9423,GSW,82.5238,125.7153,10,3,203084,Harrison Barnes,3.0,54,1,15,656.2,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,CHI
Jump Shot,291,20151123,2804,UTA,232.3487,31.6983,4,2,201142,Kevin Durant,2.0,51,1,23,293.74,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612760,Oklahoma City Thunder,OKC
Jump Shot,665,20160122,7337,DAL,127.5044,205.7127,11,2,1717,Dirk Nowitzki,2.0,5,1,24,668.1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks,OKC
Finger Roll Layup Shot,143,20151229,3445,MEM,-13.8667,250.1968,2,5,2548,Dwyane Wade,5.0,23,1,2,156.71,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat,MIA
Tip Layup Shot,196,20160112,1432,DAL,194.9303,297.9183,3,5,201567,Kevin Love,5.0,16,1,0,191.99,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612739,Cleveland Cavaliers,CLE
Jump Shot,165,20151214,2366,DEN,59.5197,256.6981,2,2,201935,James Harden,2.0,45,1,24,167.01,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets,HOU
Jump Shot,42,20151223,1418,IND,-31.4239,256.5465,0,2,200752,Rudy Gay,2.0,42,1,24,45.1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612758,Sacramento Kings,SAC
Jump Shot,35,20151121,9431,MIA,174.8388,231.0143,0,2,203496,Robert Covington,2.0,35,1,26,36.33,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612755,Philadelphia 76ers,PHI
